"mem_signup_month","num_days_as_member","acquisition_source","days_between_first_and_second_order","days_between_second_and_third_order","days_between_third_and_fourth_order","days_between_fourth_and_fifth_order","spicy_preference_index","sweet_preference_index","tart_preference_index","has_purchased_a_limited_edition_sku","has_spent_more_than_50_dollars"
12,327,"youtube",0,0,0,0,0,0.4,0.5,0,0
12,340,"unknown",0,0,0,0,0.0888,0.2444,0.3333,1,0
12,329,"youtube",21,55,119,0,0.0489,0.3632,0.2142,0,1
12,349,"friends/family",0,0,0,0,0.1142,0.5428,0.4285,0,0
12,335,"friends/family",0,83,89,0,0.0044,0.48,0.3555,1,1
12,328,"unknown",18,0,0,0,0.0142,0.3428,0.2142,1,0
1,324,"friends/family",0,0,0,0,0,0.75,0.25,0,0
1,325,"friends/family",0,0,0,0,0.0888,0.3555,0.3888,0,0
11,366,"unknown",86,0,0,0,0.1333,0.3333,0.3,0,0
12,341,"radio",0,0,0,0,0.0285,0.1428,0.2857,0,0
12,341,"podcast",117,20,53,147,0.1703,0.3555,0.3333,0,1
12,328,"unknown",15,15,0,0,0,0.4153,0.1923,0,0
11,362,"podcast",0,0,0,0,0,0.3692,0.2692,0,0
12,350,"friends/family",14,0,0,0,0,0.4444,0.2777,0,0
12,348,"facebook",0,0,0,0,0,0.1,0.4166,0,0
12,340,"friends/family",35,238,30,32,0.0062,0.4062,0.2031,1,1
12,339,"friends/family",47,202,0,0,0.1529,0.4705,0.2941,0,0
12,354,"friends/family",5,0,0,0,0.0625,0.3,0.3125,1,0
11,357,"unknown",0,0,0,0,0,0.2,0.3333,0,0
12,350,"google",0,0,0,0,0,0.25,0.375,0,0
12,328,"friends/family",0,0,0,0,0.16,0.2,0.5,0,0
12,336,"youtube",3,0,0,0,0.3,0.0666,0.1666,0,0
12,351,"unknown",7,91,57,91,0.0702,0.5405,0.3783,1,1
12,331,"unknown",97,0,0,0,0,0.3058,0.3235,0,1
12,327,"catalog/mailer",87,76,0,0,0.1547,0.3811,0.3396,1,1
1,324,"unknown",0,0,0,0,0,0.35,0.125,0,0
12,350,"youtube",0,0,0,0,0,0.5333,0.3333,0,0
12,337,"unknown",0,0,0,0,0,0.5777,0.5,0,0
11,359,"youtube",66,25,0,0,0.36,0.3733,0.3333,0,1
12,355,"friends/family",0,0,0,0,0.3,0.1666,0.4166,0,0
12,327,"radio",0,0,0,0,0.025,0.6,0.375,0,0
11,359,"google",186,0,0,0,0,0.4666,0.2777,0,0
12,341,"friends/family",0,0,0,0,0,0.72,0.4,0,0
1,323,"blog",0,0,0,0,0.0222,0.3111,0.1666,0,0
12,350,"facebook",0,0,0,0,0,0.4461,0.2307,0,0
12,343,"podcast",52,0,0,0,0.075,0.35,0.3437,1,0
12,355,"facebook",0,0,0,0,0,0.325,0.4375,0,0
12,327,"unknown",5,0,0,0,0,0.3647,0.2647,0,0
12,331,"friends/family",24,43,0,0,0.1076,0.3923,0.3461,1,1
11,358,"unknown",56,0,0,0,0.1428,0.2285,0.2857,0,0
12,348,"friends/family",0,0,0,0,0,0.3142,0.2857,1,0
12,349,"youtube",1,0,0,0,0.0611,0.3055,0.3125,1,1
1,321,"mailer",17,67,70,66,0.1459,0.3567,0.3243,0,1
12,353,"facebook",0,0,0,0,0,0.4666,0.1666,0,0
11,360,"unknown",99,0,0,0,0,0.55,0.3333,0,0
12,328,"unknown",0,0,0,0,0,0.35,0.125,0,0
11,361,"unknown",0,0,0,0,0,0.5111,0.3888,0,0
12,350,"podcast",0,0,0,0,0,0.5555,0.2222,1,0
12,344,"friends/family",0,0,0,0,0,0.5428,0.3571,0,0
11,358,"podcast",0,0,0,0,0.25,0.2,0.3125,0,0
12,333,"facebook",0,0,0,0,0,0.6571,0.5,0,0
12,345,"unknown",0,0,0,0,0,0.3076,0.3076,0,1
12,334,"friends/family",0,0,0,0,0.225,0.4,0.4375,0,0
12,337,"unknown",0,0,0,0,0.0444,0.3666,0.3055,1,1
11,365,"friends/family",16,34,15,54,0.1294,0.2411,0.2794,1,1
1,320,"facebook",0,1,0,1,0.0034,0.4275,0.2931,0,1
11,366,"friends/family",3,61,14,72,0.0701,0.3754,0.2894,1,1
12,336,"podcast",0,0,0,0,0.1,0.275,0.25,1,0
11,362,"friends/family",0,0,0,0,0,0.6,0,0,0
12,337,"podcast",104,149,0,0,0.0923,0.5615,0.3653,1,1
